# Freq(Hz), Zreal (ohm), Zimag (ohm)
1.000000000000000000e+06,2.024770965576171875e+02,2.115040302276611328e+00
6.309573444801929872e+05,1.995308837890625000e+02,2.061713457107543945e+00
3.981071705534969224e+05,1.988424224853515625e+02,2.037721395492553711e+00
2.511886431509582035e+05,1.988860321044921875e+02,2.215502023696899414e+00
1.584893192461114086e+05,1.988407592773437500e+02,2.440061807632446289e+00
1.000000000000000000e+05,2.008493804931640625e+02,-3.522301483154296875e+01
6.309573444801929872e+04,2.006326599121093750e+02,-2.033129692077636719e+01
3.981071705534969078e+04,2.005861511230468750e+02,-1.000747489929199219e+01
2.511886431509582326e+04,2.006128387451171875e+02,-1.840754151344299316e+00
1.584893192461114086e+04,2.006586456298828125e+02,5.840134143829345703e+00
1.000000000000000000e+04,2.045071716308593750e+02,-2.428770637512207031e+01
6.309573444801930236e+03,2.046385192871093750e+02,2.247798681259155273e+00
3.981071705534969169e+03,2.052686920166015625e+02,2.909887123107910156e+01
2.511886431509579779e+03,2.063385314941406250e+02,6.197813796997070312e+01
1.584893192461112449e+03,2.091714935302734375e+02,1.088089218139648438e+02
1.000000000000000000e+03,2.160774078369140625e+02,1.774926300048828125e+02
6.309573444801930009e+02,2.332289123535156250e+02,2.844562683105468750e+02
3.981071705534969283e+02,2.538917999267578125e+02,4.469816589355468750e+02
2.511886431509579722e+02,3.530627746582031250e+02,6.853908081054687500e+02
1.584893192461112505e+02,5.751998291015625000e+02,1.006170837402343750e+03
1.000000000000000000e+02,9.994282836914062500e+02,1.334302001953125000e+03
6.309573444801930009e+01,1.645870239257812500e+03,1.485299804687500000e+03
3.981071705534969141e+01,2.299044189453125000e+03,1.368695312500000000e+03
2.511886431509577022e+01,2.760181884765625000e+03,1.062546264648437500e+03
1.584893192461110978e+01,3.015014404296875000e+03,7.342542724609375000e+02
1.000000000000000000e+01,3.129067138671875000e+03,4.838108520507812500e+02
6.309573444801929831e+00,3.177945556640625000e+03,3.098863830566406250e+02
3.981071705534969141e+00,3.197682373046875000e+03,1.983571166992187500e+02
2.511886431509577022e+00,3.202301269531250000e+03,1.561698913574218750e+02
1.584893192461110933e+00,3.211541748046875000e+03,9.772009277343750000e+01
1.000000000000000000e+00,3.214212890625000000e+03,6.089431762695312500e+01
6.309573444801930275e-01,3.215111572265625000e+03,3.829125213623046875e+01
3.981071705534969252e-01,3.215427001953125000e+03,2.416914939880371094e+01
2.511886431509576800e-01,3.215580810546875000e+03,1.524327468872070312e+01
1.584893192461110933e-01,3.215657958984375000e+03,9.587213516235351562e+00
1.000000000000000056e-01,3.215693115234375000e+03,6.062537193298339844e+00
